video_id,comment_text,like_count,published_at,author,fetched_at
uFGreSkTMck,This film deserves oscar ❤,0,2026-04-13T06:25:29Z,@Aditya-ind45,2026-04-13T13:58:15.033538
uFGreSkTMck,This movie give RANVEER what he DESERVES 🔥 📈✅,1,2026-04-13T06:22:10Z,@MatrixCinematic,2026-04-13T13:58:15.033540
uFGreSkTMck,This song is originally sing by nushrat fateh ali khan sir,0,2026-04-13T06:11:51Z,@priyamdulera-r5f,2026-04-13T13:58:15.033541
uFGreSkTMck,This song for curent mumbi indians team❤,1,2026-04-13T06:11:19Z,@SurajPawar-i3m,2026-04-13T13:58:15.033543
uFGreSkTMck,Listening this song on loop❤❤,1,2026-04-13T05:40:26Z,@bhartibanswal7754,2026-04-13T13:58:15.033544
uFGreSkTMck,ವಿಡಿಯೋ ಚೆನ್ನಾಗಿದೆ ಸರ್ ಅದ್ಬುತ ❤️ ಒಳ್ಳೆಯದಾಗಲಿ ಸರ್ ನಿಮಗೆ,2,2026-04-13T05:39:21Z,@VINAYAK.VINAYAK.,2026-04-13T13:58:15.033546
uFGreSkTMck,"02:39 pure Goosebumps ❤
Director 💎
Producer ❤
Writers ✨",1,2026-04-13T05:33:23Z,@Prashant_Jadhav_026,2026-04-13T13:58:15.033549
8sJlOmE8HKY,Nice🎉🎉,0,2026-04-13T07:04:06Z,@KrishanChaurasiya-f4j,2026-04-13T13:58:15.202754
8sJlOmE8HKY,❤❤❤,0,2026-04-13T06:57:22Z,@Satyababu3,2026-04-13T13:58:15.202773
8sJlOmE8HKY,𝐌𝐨𝐯𝐢𝐞 𝐤𝐛 𝐚𝐚𝐞𝐠𝐢..?,1,2026-04-13T05:57:17Z,@Muskan_editz-j6q,2026-04-13T13:58:15.202776
8sJlOmE8HKY,Puri movie dekh liya mene,0,2026-04-12T16:49:28Z,@Pihuvlogs1-z2g,2026-04-13T13:58:15.202778
8sJlOmE8HKY,❤❤❤❤,0,2026-04-12T13:20:34Z,@NidhiVerma-v,2026-04-13T13:58:15.202787
