category,video_count,avg_views,avg_likes
Entertainment,8,6442119.125,73087.375
Film & Animation,6,5441604.333333333,239713.83333333334
Music,43,1443743.0697674418,37309.023255813954
Gaming,31,732572.3225806452,20291.09677419355
People & Blogs,7,305319.14285714284,19404.285714285714
